Feature,Coefficient
feature_148,3.5540828753872153
feature_85,3.3078483197711064
feature_84,3.1590944320745793
feature_76,3.1234145364990766
feature_150,3.1051262579050323
feature_47,2.800312525429308
feature_46,2.2234184625780182
feature_49,2.1497622141108144
feature_55,2.0250722417474685
feature_83,2.0103575212526157
feature_118,1.65643219272145
feature_130,1.6383014446184163
feature_108,1.6111931447139487
ego_density,1.448708286262947
clustering_coefficient_x,1.3395340791674595
feature_90,1.3341162401094895
feature_94,1.2843734904174404
feature_115,1.2778376544110381
feature_92,1.0253080795795486
feature_38,0.9758379009806444
feature_48,0.9652500570601649
feature_88,0.9160079459772638
feature_100,0.8892596096935977
feature_86,0.8667989203143448
feature_140,0.8592629442062677
feature_156,0.7655863049853981
feature_45,0.6864202324559991
feature_120,0.6225402360151627
feature_16,0.6023596461173397
out_degree_centrality,0.5739833170893751
feature_151,0.5680422690722786
feature_157,0.5537163371158724
feature_145,0.5480869095282874
feature_91,0.5384932135086794
feature_63,0.5177841829978957
feature_146,0.486648250242599
feature_62,0.4524940978893532
feature_144,0.4431479297478123
feature_32,0.4431468520895807
feature_2,0.440879431616068
feature_139,0.4106396692446839
feature_20,0.3800987234101931
feature_95,0.36415800527504744
feature_160,0.3508174468608716
feature_27,0.27276458288692546
feature_136,0.23939081386510738
feature_44,0.23310998476870495
feature_128,0.2278632203838297
feature_102,0.20127084166001127
feature_74,0.19657276554685107
feature_73,0.1803809054879364
feature_71,0.16691773847240687
feature_72,0.16396056133868211
feature_12,0.15794511021734256
feature_87,0.14020409957083288
feature_70,0.13434123806400813
feature_106,0.1295928306135751
feature_105,0.1252211897490977
feature_56,0.12121651941097387
feature_142,0.1133503570634464
feature_96,0.09971762946399991
feature_135,0.09201791211830188
feature_154,0.0837942322789025
feature_153,0.07152858887228217
feature_33,0.054939245897191076
feature_165,0.04933100172999719
feature_117,0.04695264240735471
feature_122,0.046567263206629746
feature_159,0.044384636865466794
feature_98,0.03679302350076374
feature_111,0.03567401154600122
feature_30,0.024948876254490705
feature_24,0.0249317029266988
feature_34,0.0210931966068071
feature_3,0.018118485251581773
feature_37,0.012604981842943565
avg_neighbor_degree,0.00816655842245025
betweenness_centrality,0.008078670810929509
feature_35,0.004136310099245626
density,0.0008317762207844776
degree_centrality,5.864838122594527e-05
feature_114,-0.007839922028584429
feature_15,-0.019370838804069097
feature_110,-0.022246359825979552
pagerank,-0.02284671319442419
feature_103,-0.03294383323274482
feature_6,-0.040644488767535736
feature_116,-0.041141040770224895
feature_36,-0.05407361221977664
feature_123,-0.06190184113694948
feature_104,-0.06782893887342484
feature_4,-0.0748415675777018
feature_99,-0.08473277686151318
feature_41,-0.09136323873295202
feature_152,-0.11666381252677642
feature_133,-0.1311135804300332
feature_75,-0.13467174063926576
feature_138,-0.18038214807354452
feature_129,-0.1829667713167203
feature_21,-0.19492660605126313
feature_134,-0.19651092721431507
feature_54,-0.2317726355047979
feature_112,-0.2377136477522235
feature_158,-0.2633950456913207
feature_164,-0.27473197254259113
feature_50,-0.3027443053258128
feature_13,-0.31005549255390796
feature_40,-0.34607655835014917
feature_57,-0.37421507175711416
feature_80,-0.377245583184533
feature_69,-0.39580786310135413
feature_68,-0.40234272973862484
feature_51,-0.4799860421826861
feature_147,-0.48927355932048106
feature_137,-0.5318512148948531
feature_26,-0.5339894615255354
feature_109,-0.6304119094569265
feature_107,-0.6803844839376937
feature_113,-0.7622968503339249
feature_131,-0.7901362573846937
feature_43,-0.8349466522417508
feature_93,-0.9088724271215542
feature_161,-0.9465683337001248
feature_132,-0.9479040423837541
feature_39,-0.9799072727848347
feature_101,-0.9933975780844735
feature_143,-1.01184772384657
feature_81,-1.0472736784473975
feature_141,-1.070274729915876
feature_10,-1.203516483259735
feature_126,-1.2119815986761793
feature_42,-1.258224916290418
feature_125,-1.2632397208665054
feature_162,-1.3474530424490332
feature_79,-1.401392278116444
ego_size,-1.41963780910802
feature_7,-1.4254385394033997
feature_121,-1.5512829892144446
feature_163,-1.5708925292264553
feature_53,-1.6623235377537138
feature_8,-1.7721837890703376
feature_11,-1.776014026486496
feature_119,-1.786506118327582
clustering_coefficient_y,-2.0610746220172707
feature_155,-2.094207670037445
feature_9,-2.1622006424093096
feature_124,-2.342221820011223
feature_58,-2.3658650086184587
feature_64,-2.366386853126918
feature_97,-2.6095846201741053
feature_17,-2.6333438104731792
feature_19,-2.658587469394766
feature_78,-2.6958696544716845
feature_1,-2.7860029133069766
feature_18,-2.8344111732140784
feature_89,-2.929321706831823
feature_77,-2.9988026475573797
feature_82,-3.146768881273651
feature_52,-3.1546370152977388
feature_127,-3.72277496260201
avg_degree,-4.012213460029305
feature_149,-4.255946437761972
feature_60,-4.518150677439122
feature_66,-4.518355140368565
feature_23,-4.526310410831334
feature_29,-4.526608068269289
feature_59,-4.572230883922697
feature_65,-4.572749144229324
feature_61,-4.929668264768477
feature_67,-4.930007649052978
feature_25,-5.995462262266978
feature_31,-5.996111251550793
feature_22,-7.082869140435743
feature_28,-7.083961720423167
feature_5,-12.785634979721065
feature_14,-13.037978970358989
